x,c0,c1,c2,c3,c4,c5
1.185,10.468203587711066,7.968642074359978,7.998833556226433,-12.06227855074735,-121.44609576572526,-11.899206298817038
1.186,10.467358481386563,7.976348557741296,8.086719013436754,-11.656127598778774,-120.66179630479124,-11.900041833878738
1.187,10.467757155487089,7.984596798348051,8.17417112787,-11.25356812720638,-119.69572219241596,-11.899642916073663
1.188,10.468980046630328,7.992932359999251,8.260409285934818,-10.855419186498018,-118.59194227872815,-11.898429757146637
1.189,10.47191073922452,8.002206675661986,8.345952641119457,-10.461154736533985,-117.39477452239183,-11.895519286501347
1.19,10.475014430285933,8.01085577622573,8.428901345437719,-10.072627347075821,-116.14968178355934,-11.89244667952831
1.191,10.479286255632061,8.01984876132153,8.509887811303987,-9.689121977643309,-114.89533856765412,-11.88821704008667
1.192,10.484716090451544,8.029152674304902,8.588544525386187,-9.310893399155821,-113.66466326061868,-11.88284061639501
1.193,10.488460131647827,8.035904084100796,8.661678649320576,-8.940996704776577,-112.48510291833144,-11.879161239835177
1.194,10.491374611167632,8.040942770363678,8.729808698582708,-8.578755716017248,-111.37167311578811,-11.87632263397688
1.195,10.493020563116906,8.043816553843692,8.79217224176707,-8.224760184062836,-110.3324944733202,-11.874763652185063
1.196,10.494611614774675,8.04572921636021,8.849676535813074,-7.87791992409982,-109.36703861078932,-11.873270483318958
1.197,10.497897223174787,8.048423897816718,8.903784452412308,-7.536583481014146,-108.4687509167553,-11.870093406625179
1.198,10.501188599850062,8.050209134945277,8.952542812626026,-7.202513940923973,-107.63057052596035,-11.866920865122124
1.199,10.508049326231985,8.054649479992497,8.999275077173182,-6.872200062526224,-106.83765109060714,-11.860188861006101
1.2,10.514649940495435,8.05791999240801,9.039937634671789,-6.54950334474733,-106.08119492934364,-11.853726388551868
1.201,10.51824413392874,8.057282199939598,9.071597305737884,-6.237183410358326,-105.35091721165514,-11.850279270976635
1.202,10.519814408714073,8.053729586106968,9.095078074204391,-5.9342538205213975,-104.63310358794334,-11.84886452062851
1.203,10.517164285684146,8.04507981833285,9.108054253207305,-5.642891283628742,-103.91801486590145,-11.851678122637491
1.204,10.51054763017326,8.031604242034792,9.110680639368919,-5.362807578763352,-103.19458415276084,-11.858465682976854
1.205,10.501301721503106,8.01466130129555,9.104226330841806,-5.09261765737844,-102.4519757545147,-11.867889314792283
1.206,10.493699435269749,7.998549215279594,9.092927567108092,-4.827988615381654,-101.67782250841398,-11.875675401642109
1.207,10.488757135365402,7.98431431411838,9.077796038459674,-4.567832785251726,-100.86443226253967,-11.880806663637308
1.208,10.485836604425932,7.9713531445707,9.05822082212132,-4.312706874943083,-100.0071464404991,-11.883920225428355
1.209,10.481188797315202,7.955956098371106,9.030511712536992,-4.066269143416793,-99.10572037720605,-11.888763893560759
1.21,10.476941162059273,7.940294441081647,8.996885830162588,-3.826293034456075,-98.15523698033941,-11.893208880690683
1.211,10.4718352591467,7.923157655264912,8.956204411026208,-3.593930372421979,-97.15525670279682,-11.898512223817223
